Time(s)	Acc(m/s2)	V (m/s)	V_avg (m/s)	Var	gyro_var	Movement	Displacement(m)
0.000000	0.018707	0.000000	0.000000	0.018707	-0.000701	0	0.000000
0.050000	0.017670	0.000000	0.000000	0.017670	-0.007811	0	0.000000
0.100000	0.015823	0.000000	0.000000	0.015823	0.001693	0	0.000000
0.150000	0.014755	0.000000	0.000000	0.014755	-0.003081	0	0.000000
0.200000	0.018799	0.000000	0.000000	0.018799	-0.007858	0	0.000000
0.250000	0.015717	0.000000	0.000000	0.015717	-0.012611	0	0.000000
0.300000	0.015823	0.000000	0.000000	0.015823	-0.006707	0	0.000000
0.350000	0.012802	0.000000	0.000000	0.012802	0.000439	0	0.000000
0.400000	0.014740	0.000000	0.000000	0.014740	-0.003087	0	0.000000
0.450000	0.015717	0.000000	0.000000	0.015717	-0.007820	0	0.000000
0.500000	0.014847	0.000000	0.000000	0.014847	0.018462	0	0.000000
0.550000	0.013824	0.000000	0.000000	0.013824	-0.006728	0	0.000000
0.600000	0.015828	0.000000	0.000000	0.000003	0.000058	0	0.000000
0.650000	0.015587	0.000000	0.000000	0.000003	0.000062	0	0.000000
0.700000	0.015217	0.000000	0.000000	0.000002	0.000061	0	0.000000
0.750000	0.015221	0.000000	0.000000	0.000002	0.000059	0	0.000000
0.800000	0.015455	0.000000	0.000000	0.000002	0.000059	0	0.000000
0.850000	0.015344	0.000000	0.000000	0.000001	0.000060	0	0.000000
0.900000	0.015660	0.000000	0.000000	0.000001	0.000057	0	0.000000
0.950000	0.016237	0.000000	0.000000	0.000001	0.000061	0	0.000000
1.000000	0.017151	0.000000	0.000000	0.000001	0.000066	0	0.000000
1.050000	0.017308	0.000000	0.000000	0.000001	0.000068	0	0.000000
1.100000	0.018848	0.000000	0.000000	0.000002	0.000062	0	0.000000
1.150000	0.018021	0.000000	0.000000	0.000002	0.000041	0	0.000000
1.200000	0.017934	0.000000	0.000000	0.000002	0.000033	0	0.000000
1.250000	0.018761	0.000000	0.000000	0.000002	0.000030	0	0.000000
1.300000	0.015160	0.000000	0.000000	0.000002	0.000027	0	0.000000
1.350000	0.012887	0.000000	0.000000	0.000003	0.000021	0	0.000000
1.400000	0.014391	0.000000	0.000000	0.000003	0.000014	0	0.000000
1.450000	0.013268	0.000000	0.000000	0.000004	0.000009	0	0.000000
1.500000	0.014661	0.000000	0.000000	0.000004	0.000006	0	0.000000
1.550000	0.019336	0.000000	0.000000	0.000005	0.000006	0	0.000000
1.600000	0.016350	0.000000	0.000000	0.000005	0.000006	0	0.000000
1.650000	0.022443	0.000000	0.000000	0.000008	0.000009	0	0.000000
1.700000	0.021922	0.001096	0.000548	0.000010	0.000012	1	0.000027
1.750000	0.010951	0.001644	0.001370	0.000013	0.000013	1	0.000096
1.800000	0.015082	0.002398	0.002021	0.000013	0.000014	1	0.000197
1.850000	0.016301	0.003213	0.002805	0.000013	0.000016	1	0.000337
1.900000	0.021655	0.004296	0.003754	0.000015	0.000018	1	0.000525
1.950000	0.020771	0.005334	0.004815	0.000016	0.000020	1	0.000766
2.000000	0.017638	0.006216	0.005775	0.000015	0.000020	1	0.001054
2.050000	0.018127	0.007122	0.006669	0.000014	0.000020	1	0.001388
2.100000	0.017477	0.007996	0.007559	0.000012	0.000022	1	0.001766
2.150000	0.019362	0.008964	0.008480	0.000011	0.000028	1	0.002190
2.200000	0.014524	0.009691	0.009327	0.000012	0.000042	1	0.002656
2.250000	0.017929	0.010587	0.010139	0.000012	0.000050	1	0.003163
2.300000	0.013486	0.011261	0.010924	0.000012	0.000054	1	0.003709
2.350000	0.014418	0.011982	0.011622	0.000010	0.000054	1	0.004290
2.400000	0.024317	0.013198	0.012590	0.000011	0.000051	1	0.004920
2.450000	0.021432	0.014270	0.013734	0.000011	0.000046	1	0.005607
2.500000	0.019809	0.015260	0.014765	0.000011	0.000040	1	0.006345
2.550000	0.013885	0.015954	0.015607	0.000011	0.000037	1	0.007125
2.600000	0.019091	0.016909	0.016432	0.000011	0.000032	1	0.007947
2.650000	0.024887	0.018153	0.017531	0.000015	0.000021	1	0.008823
2.700000	0.022900	0.019298	0.018726	0.000017	0.000015	1	0.009760
2.750000	0.024601	0.020528	0.019913	0.000019	0.000010	1	0.010755
2.800000	0.020974	0.021577	0.021053	0.000020	0.000009	1	0.011808
2.850000	0.020601	0.022607	0.022092	0.000018	0.000009	1	0.012913
2.900000	0.019603	0.023587	0.023097	0.000017	0.000010	1	0.014067
2.950000	0.017259	0.024450	0.024019	0.000014	0.000010	1	0.015268
3.000000	0.016636	0.025282	0.024866	0.000012	0.000010	1	0.016512
3.050000	0.016323	0.026098	0.025690	0.000012	0.000011	1	0.017796
3.100000	0.015600	0.026878	0.026488	0.000013	0.000013	1	0.019121
3.150000	0.016165	0.027686	0.027282	0.000014	0.000013	1	0.020485
3.200000	0.015779	0.028475	0.028081	0.000012	0.000018	1	0.021889
3.250000	0.014707	0.029211	0.028843	0.000014	0.000019	1	0.023331
3.300000	0.014324	0.029927	0.029569	0.000012	0.000019	1	0.024809
3.350000	0.014235	0.030639	0.030283	0.000011	0.000017	1	0.026323
3.400000	0.014004	0.000000	0.030283	0.000007	0.000015	0	0.026323
3.450000	0.014076	0.000000	0.030283	0.000005	0.000012	0	0.026323
3.500000	0.014321	0.000000	0.030283	0.000003	0.000010	0	0.026323
3.550000	0.014089	0.000000	0.030283	0.000002	0.000008	0	0.026323
3.600000	0.014100	0.000000	0.030283	0.000001	0.000007	0	0.026323
3.650000	0.014395	0.000000	0.030283	0.000001	0.000006	0	0.026323
3.700000	0.014323	0.000000	0.030283	0.000001	0.000005	0	0.026323
3.750000	0.014767	0.000000	0.030283	0.000001	0.000003	0	0.026323
3.800000	0.014695	0.000000	0.030283	0.000000	0.000002	0	0.026323
3.850000	0.014776	0.000000	0.030283	0.000000	0.000002	0	0.026323
3.900000	0.015001	0.000000	0.030283	0.000000	0.000002	0	0.026323
3.950000	0.015293	0.000000	0.030283	0.000000	0.000002	0	0.026323
4.000000	0.015155	0.000000	0.030283	0.000000	0.000001	0	0.026323
4.050000	0.015235	0.000000	0.030283	0.000000	0.000001	0	0.026323
4.100000	0.015170	0.000000	0.030283	0.000000	0.000001	0	0.026323
4.150000	0.014780	0.000000	0.030283	0.000000	0.000001	0	0.026323
4.200000	0.015093	0.000000	0.030283	0.000000	0.000001	0	0.026323
4.250000	0.014862	0.000000	0.030283	0.000000	0.000001	0	0.026323
4.300000	0.014481	0.000000	0.030283	0.000000	0.000001	0	0.026323
4.350000	0.014177	0.000000	0.030283	0.000000	0.000001	0	0.026323
4.400000	0.014117	0.000000	0.030283	0.000000	0.000001	0	0.026323
4.450000	0.013805	0.000000	0.030283	0.000000	0.000001	0	0.026323
4.500000	0.013574	0.000000	0.030283	0.000000	0.000001	0	0.026323
4.550000	0.013805	0.000000	0.030283	0.000000	0.000001	0	0.026323
4.600000	0.013654	0.000000	0.030283	0.000000	0.000001	0	0.026323
4.650000	0.014110	0.000000	0.030283	0.000000	0.000001	0	0.026323
4.700000	0.014024	0.000000	0.030283	0.000000	0.000001	0	0.026323
4.750000	0.014094	0.000000	0.030283	0.000000	0.000000	0	0.026323
4.800000	0.014320	0.000000	0.030283	0.000000	0.000000	0	0.026323
4.850000	0.014249	0.000000	0.030283	0.000000	0.000000	0	0.026323
4.900000	0.014330	0.000000	0.030283	0.000000	0.000000	0	0.026323
4.950000	0.014551	0.000000	0.030283	0.000000	0.000000	0	0.026323
5.000000	0.014553	0.000000	0.030283	0.000000	0.000000	0	0.026323
5.050000	0.014633	0.000000	0.030283	0.000000	0.000000	0	0.026323
5.100000	0.015174	0.000000	0.030283	0.000000	0.000000	0	0.026323
5.150000	0.015175	0.000000	0.030283	0.000000	0.000000	0	0.026323
