Time(s)	Acc(m/s2)	V (m/s)	V_avg (m/s)	Var	gyro_var	Movement	Displacement(m)
0.000000	-0.001266	-0.000063	-0.000032	-0.001266	-0.003120	1	-0.000002
0.050000	-0.003250	-0.000226	-0.000145	-0.003250	-0.010556	1	-0.000009
0.100000	0.000610	-0.000195	-0.000211	0.000610	-0.000713	1	-0.000019
0.150000	0.001617	-0.000114	-0.000155	0.001617	-0.016596	1	-0.000027
0.200000	0.001617	-0.000034	-0.000074	0.001617	-0.014091	1	-0.000031
0.250000	-0.001297	-0.000098	-0.000066	-0.001297	-0.003080	1	-0.000034
0.300000	0.003601	0.000082	-0.000008	0.003601	-0.012749	1	-0.000035
0.350000	0.000595	0.000111	0.000097	0.000595	-0.001747	1	-0.000030
0.400000	0.002625	0.000243	0.000177	0.002625	-0.000648	1	-0.000021
0.450000	0.001663	0.000326	0.000284	0.001663	0.002953	1	-0.000007
0.500000	0.004532	0.000552	0.000439	0.004532	0.000181	1	0.000015
0.550000	0.001587	0.000632	0.000592	0.001587	-0.001819	1	0.000045
0.600000	0.000802	0.000000	0.000592	0.000004	0.000039	0	0.000045
0.650000	0.000576	0.000000	0.000592	0.000004	0.000041	0	0.000045
0.700000	0.000945	0.000000	0.000592	0.000003	0.000039	0	0.000045
0.750000	0.001248	0.000000	0.000592	0.000002	0.000037	0	0.000045
0.800000	0.001248	0.000000	0.000592	0.000002	0.000026	0	0.000045
0.850000	0.000657	0.000000	0.000592	0.000002	0.000018	0	0.000045
0.900000	0.000346	0.000000	0.000592	0.000002	0.000019	0	0.000045
0.950000	-0.000392	0.000000	0.000592	0.000002	0.000012	0	0.000045
1.000000	-0.000534	0.000000	0.000592	0.000002	0.000013	0	0.000045
1.050000	-0.001069	0.000000	0.000592	0.000002	0.000013	0	0.000045
1.100000	-0.003306	0.000000	0.000592	0.000003	0.000012	0	0.000045
1.150000	-0.012194	-0.000610	-0.000305	0.000014	0.000012	1	0.000030
1.200000	-0.024529	-0.001836	-0.001223	0.000057	0.000012	1	-0.000031
1.250000	-0.034609	-0.003567	-0.002701	0.000136	0.000010	1	-0.000167
1.300000	-0.044049	-0.005769	-0.004668	0.000250	0.000009	1	-0.000400
1.350000	-0.051273	-0.008333	-0.007051	0.000383	0.000006	1	-0.000752
1.400000	-0.053410	-0.011003	-0.009668	0.000495	0.000003	1	-0.001236
1.450000	-0.057311	-0.013869	-0.012436	0.000588	0.000004	1	-0.001858
1.500000	-0.056851	-0.016711	-0.015290	0.000636	0.000017	1	-0.002622
