Time(s)	Acc(m/s2)	V (m/s)	V_avg (m/s)	Var	gyro_var	Movement	Displacement(m)
0.000000	-0.989761	0.000000	0.000000	-0.989761	-0.000956	0	0.000000
0.050000	-0.989792	0.000000	0.000000	-0.989792	0.003565	0	0.000000
0.100000	-0.991806	0.000000	0.000000	-0.991806	0.000235	0	0.000000
0.150000	-0.987961	0.000000	0.000000	-0.987961	0.001261	0	0.000000
0.200000	-0.991730	0.000000	0.000000	-0.991730	-0.001083	0	0.000000
0.250000	-0.988876	0.000000	0.000000	-0.988876	-0.002222	0	0.000000
0.300000	-0.987946	0.000000	0.000000	-0.987946	-0.005693	0	0.000000
0.350000	-0.989945	0.000000	0.000000	-0.989945	-0.006724	0	0.000000
0.400000	-0.986008	0.000000	0.000000	-0.986008	-0.002122	0	0.000000
0.450000	-0.985992	0.000000	0.000000	-0.985992	0.000168	0	0.000000
0.500000	-0.988937	0.000000	0.000000	-0.988937	0.011960	0	0.000000
0.550000	-0.989929	0.000000	0.000000	-0.989929	-0.005646	0	0.000000
0.600000	-0.988974	0.000000	0.000000	0.000003	0.000023	0	0.000000
0.650000	-0.989217	0.000000	0.000000	0.000003	0.000025	0	0.000000
0.700000	-0.989232	0.000000	0.000000	0.000003	0.000023	0	0.000000
0.750000	-0.988936	0.000000	0.000000	0.000003	0.000023	0	0.000000
0.800000	-0.988865	0.000000	0.000000	0.000003	0.000023	0	0.000000
0.850000	-0.988427	0.000000	0.000000	0.000002	0.000023	0	0.000000
0.900000	-0.988731	0.000000	0.000000	0.000002	0.000023	0	0.000000
0.950000	-0.988737	0.000000	0.000000	0.000002	0.000021	0	0.000000
1.000000	-0.988434	0.000000	0.000000	0.000002	0.000018	0	0.000000
1.050000	-0.988653	0.000000	0.000000	0.000001	0.000017	0	0.000000
1.100000	-0.988652	0.000000	0.000000	0.000000	0.000017	0	0.000000
1.150000	-0.988422	0.000000	0.000000	0.000000	0.000010	0	0.000000
1.200000	-0.988199	0.000000	0.000000	0.000000	0.000052	0	0.000000
1.250000	-0.988199	0.000000	0.000000	0.000000	0.000136	0	0.000000
1.300000	-0.988119	0.000000	0.000000	0.000000	0.000255	0	0.000000
1.350000	-0.987964	0.000000	0.000000	0.000000	0.000302	0	0.000000
1.400000	-0.988346	0.000000	0.000000	0.000000	0.000296	0	0.000000
1.450000	-0.988574	0.000000	0.000000	0.000000	0.000289	0	0.000000
1.500000	-0.988721	0.000000	0.000000	0.000000	0.000293	0	0.000000
1.550000	-0.988275	0.000000	0.000000	0.000000	0.000335	0	0.000000
1.600000	-0.988123	0.000000	0.000000	0.000000	0.000361	0	0.000000
1.650000	-0.988647	0.000000	0.000000	0.000000	0.000383	0	0.000000
1.700000	-0.988583	0.000000	0.000000	0.000000	0.000381	0	0.000000
